VALUE,LCZ1,latitude,longitude
"25.51000000,""3"",6.44,3.33"
"23.17000000,""9"",6.83,3.27"
"25.65000000,""8"",6.44,3.32"
"23.33000000,""11"",6.83,3.26"
"25.03000000,""3"",6.44,3.34"
"22.81000000,""11"",6.83,3.29"
"25.29000000,""3"",6.44,3.33"
"23.01000000,""9"",6.83,3.28"
"24.49000000,""11"",6.44,3.29"
"24.41000000,""9"",6.83,3.24"
"24.87000000,""6"",6.44,3.28"
"24.19000000,""9"",6.83,3.23"
"25.11000000,""8"",6.44,3.31"
"23.85000000,""12"",6.83,3.25"
"24.67000000,""6"",6.44,3.30"
"24.21000000,""14"",6.83,3.24"
"24.45000000,""8"",6.44,3.40"
"21.53000000,""12"",6.83,3.34"
"nan,""17"",6.44,3.39"
"21.75000000,""12"",6.83,3.33"
"24.77000000,""3"",6.44,3.42"
"21.33000000,""14"",6.83,3.36"
"24.49000000,""8"",6.44,3.41"
"21.15000000,""9"",6.83,3.35"
"24.55000000,""6"",6.44,3.36"
